,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
156,1.0,1,10,11,0.3,0.4,5000,0.15,0.4859580379022889
157,0.0,1,10,201,1.5,0.2,1200,0.46,0.47369795065918285
158,1.0,0,5,251,0.5,0.4,1000,0.97,0.7287672250492145
159,0.0,1,1,75,0.3,0.2,7000,0.01,0.47369795065918285
160,0.0,0,10,101,0.1,0.2,400,0.01,0.47369795065918285
161,1.0,1,7,151,1.0,0.4,2000,0.66,0.5515764456896027
162,0.0,0,10,151,3.0,0.3,800,0.58,0.5197331851028348
163,1.0,1,1,25,0.3,0.1,200,0.01,0.47369795065918285
164,0.0,1,10,25,0.5,0.2,1600,0.2,0.5441349300789098
165,0.0,1,10,251,0.1,0.005,600,0.99,0.2456501403180543
166,1.0,1,8,11,2.0,0.3,600,0.08,0.49891320613068413
167,1.0,1,1,275,2.0,0.3,1800,0.01,0.47369795065918285
168,1.0,1,10,101,0.3,0.001,1600,0.99,0.4218525953541727
169,1.0,0,4,301,0.1,0.005,5000,0.01,0.47369795065918285
170,0.0,0,7,301,1.5,0.001,800,0.99,0.24276220363614
171,1.0,1,8,275,2.0,0.001,200,0.75,0.342572965922061
172,1.0,1,3,151,2.0,0.2,1600,0.3,0.5242669100791436
173,0.0,1,8,51,0.3,0.3,1600,0.01,0.47369795065918285
174,0.0,1,5,101,0.1,0.4,600,0.01,0.47369795065918285
175,0.0,1,5,25,0.3,0.1,1000,0.27,0.47369795065918285
176,1.0,0,2,151,1.5,0.4,1400,0.2,0.47369795065918285
177,0.0,1,7,11,2.0,0.3,7000,0.24,0.4996991852102715
178,0.0,0,10,275,3.0,0.1,1200,0.13,0.8054264863746934
179,1.0,1,1,301,2.0,0.001,1600,0.01,0.47369795065918285
180,1.0,1,4,201,0.1,0.1,400,0.01,0.47369795065918285
181,1.0,1,5,25,0.3,0.3,2000,0.01,0.47369795065918285
182,1.0,1,6,51,0.1,0.3,1000,0.01,0.47369795065918285
183,1.0,1,10,251,0.5,0.005,1200,0.99,0.45439783491204333
184,0.0,1,10,11,0.5,0.001,1000,0.97,0.489965819169359
185,1.0,1,8,301,3.0,0.2,1600,0.43,0.7852272727272728
186,1.0,0,2,51,3.0,0.2,1800,0.06,0.47369795065918285
187,0.0,0,10,101,3.0,0.1,200,0.58,0.5359962287682968
188,1.0,1,3,175,5.0,0.3,5000,0.07,0.47369795065918285
189,1.0,1,3,251,1.0,0.1,800,0.5,0.47369795065918285
190,1.0,0,3,201,2.0,0.4,5000,0.37,0.47369795065918285
191,0.0,1,2,11,0.5,0.3,1200,0.18,0.5012146473137161
192,0.0,0,9,175,1.5,0.001,1200,0.98,0.4603854389721628
193,1.0,1,10,175,0.5,0.001,1200,0.96,0.42010642887962035
194,1.0,1,5,275,3.0,0.001,1200,0.28,0.47369795065918285
195,0.0,0,10,251,0.5,0.3,1000,0.05,0.47369795065918285
196,1.0,1,9,301,1.5,0.3,1200,0.68,0.8989432927321126
197,1.0,1,3,301,2.0,0.4,200,0.33,0.47369795065918285
198,1.0,0,1,51,0.1,0.001,800,0.01,0.47369795065918285
199,1.0,0,1,25,1.0,0.1,5000,0.01,0.47369795065918285
