,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
160,0.0,0,10,75,1.0,0.005,1200,0.25,0.6492657265586168
161,1.0,1,10,11,2.0,0.4,1800,0.01,0.534962833850918
162,0.0,1,10,25,3.0,0.2,5000,0.06,0.5679062765440769
163,0.0,0,6,101,0.3,0.1,1000,0.01,0.4699459344853175
164,1.0,1,10,225,3.0,0.4,5000,0.06,0.7535331349728714
165,1.0,0,2,275,0.5,0.005,1800,0.16,0.9073671635862544
166,1.0,1,10,25,1.5,0.1,600,0.06,0.5652391794407231
167,0.0,1,5,101,5.0,0.001,5000,0.03,0.5956220469865933
168,1.0,1,10,301,0.3,0.2,800,0.01,0.4699459344853175
169,1.0,0,6,151,1.0,0.1,600,0.11,0.7689471936871155
170,1.0,1,10,11,5.0,0.001,2000,0.02,0.5608998003525771
171,0.0,1,2,125,0.1,0.005,400,0.01,0.4699459344853175
172,1.0,1,1,75,5.0,0.2,600,0.01,0.4699459344853175
173,1.0,1,9,75,2.0,0.005,1400,0.09,0.5975494325323686
174,0.0,1,10,301,1.0,0.001,200,0.17,0.670989441782895
175,0.0,1,10,101,5.0,0.005,1000,0.12,0.6359219893994521
176,0.0,1,1,301,1.0,0.4,2000,0.01,0.4699459344853175
177,1.0,1,2,75,0.1,0.005,1600,0.01,0.4699459344853175
178,1.0,1,10,51,0.3,0.005,1400,0.29,0.4699459344853175
179,1.0,1,7,151,0.3,0.1,1400,0.01,0.4699459344853175
180,1.0,0,10,201,3.0,0.4,1400,0.05,0.7825012353409284
181,1.0,1,10,225,5.0,0.001,2000,0.1,0.6525070326237198
182,1.0,1,10,11,0.3,0.3,1200,0.01,0.4877756792214043
183,1.0,0,5,225,0.3,0.001,7000,0.01,0.4699459344853175
184,0.0,1,8,75,0.1,0.2,400,0.01,0.4699459344853175
185,0.0,0,10,151,0.3,0.1,600,0.01,0.4699459344853175
186,0.0,0,3,125,5.0,0.2,7000,0.06,0.4699459344853175
187,0.0,1,2,125,1.0,0.2,200,0.03,0.6471102667351284
188,1.0,0,10,25,1.0,0.4,7000,0.05,0.5594913631995629
189,0.0,1,4,11,5.0,0.3,1000,0.01,0.5115217060057146
190,0.0,1,5,51,1.5,0.3,1400,0.03,0.6159270795633454
191,1.0,0,4,11,5.0,0.001,1600,0.01,0.5286282344049795
192,1.0,1,5,251,1.5,0.4,5000,0.06,0.7999568714355847
193,0.0,0,10,51,3.0,0.1,1400,0.09,0.581179990749213
194,1.0,1,10,251,2.0,0.4,600,0.05,0.8055932462625301
195,0.0,0,4,151,3.0,0.2,5000,0.02,0.673671269977987
196,0.0,1,9,101,5.0,0.001,2000,0.2,0.6066593835210583
197,1.0,1,4,225,0.1,0.1,800,0.01,0.4699459344853175
198,0.0,1,1,301,1.5,0.4,2000,0.01,0.4699459344853175
199,0.0,1,10,275,2.0,0.005,200,0.29,0.7882861281970504
