,smoothing,normalization,precision,lag_size,fut_size,chunk_size,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred,prc,roc,order
179,1,1,4,500,500,12,0.65,0.4141371345625984,0.1,0.017708098353059913,5.826374942749423,0.42700729911423085,0.10317460316550488,274.0,1134,117.0,0.2970152535837359,0.7850942864383723,5
180,0,1,64,1200,40,70,0.99,0.21182402140454837,1,0.9518384840858127,1.0505983016776528,0.11845816358384562,0.9999999999118165,9573.0,1134,1134.0,0.11845816358508304,0.5240807579517257,8
181,0,1,64,1200,40,70,0.99,0.11950117437293084,0.1,0.9518384840858127,1.0505983016776528,0.11845816358384562,0.9999999999118165,9573.0,1134,1134.0,0.11845816358508304,0.5240807579517257,8
182,0,1,512,100,80,6,0.72,0.22338602065246976,1,0.866907286252347,1.1280952960411164,0.1260943718007266,0.9779541445345719,8795.0,1134,1109.0,0.09266421820679314,0.40015351036856417,5
183,0,1,512,100,80,6,0.72,0.12719130599098513,0.1,0.866907286252347,1.1280952960411164,0.1260943718007266,0.9779541445345719,8795.0,1134,1109.0,0.09266421820679314,0.40015351036856417,5
184,1,1,8,80,80,9,0.13,0.32776814862596537,1,0.3635235731968923,2.071629649491324,0.20946774588644917,0.7530864196866767,4077.0,1134,854.0,0.20061408274655312,0.7415625990894809,1
185,1,1,8,80,80,9,0.34,0.24029139169333383,0.1,0.1486577938174074,2.4617676859579447,0.23946912866477385,0.3659611992622609,1733.0,1134,415.0,0.20061408274655312,0.7415625990894809,1
186,1,0,1,800,800,25,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,45
187,1,0,1,800,800,25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1134,0.0,0.1134,0.5,45
188,1,0,2,40,40,9,0.01,0.3552311007124684,1,0.02458831491061822,10.47223221758068,0.5725490194955786,0.2574955908062173,510.0,1134,292.0,0.26886669326920276,0.625499450768268,3
189,1,0,2,40,40,9,0.62,0.7326026722388134,0.1,0.0012406947890678918,41.931364596866096,0.8428571416530612,0.052028218690297334,70.0,1134,59.0,0.26886669326920276,0.625499450768268,3
190,0,0,2,40,40,9,0.01,0.3552311007124684,1,0.02458831491061822,10.47223221758068,0.5725490194955786,0.2574955908062173,510.0,1134,292.0,0.26886669326920276,0.625499450768268,8
191,0,0,2,40,40,9,0.62,0.7326026722388134,0.1,0.0012406947890678918,41.931364596866096,0.8428571416530612,0.052028218690297334,70.0,1134,59.0,0.26886669326920276,0.625499450768268,8
192,0,0,16,1800,1800,2,0.34,0.2915368938405167,1,0.21249718023671893,2.1371785100747114,0.21467278031618706,0.4541446207712394,2399.0,1134,515.0,0.3072507498650781,0.6953626819218217,5
193,0,0,16,1800,1800,2,0.87,0.9089456223201237,0.1,0.0,899470.899391581,0.9999999990196079,0.08994708993915809,102.0,1134,102.0,0.3072507498650781,0.6953626819218217,5
194,0,1,4,100,80,9,0.26,0.3673768800928197,1,0.12271599368235149,3.5929851930114323,0.3148614609373513,0.44091710754489266,1588.0,1134,500.0,0.2687439648073539,0.7081293358175079,5
195,0,1,4,100,80,9,0.86,0.4309529637489192,0.1,0.0037220843672036755,7.818132103925027,0.4999999992424243,0.029100529097962916,66.0,1134,33.0,0.2687439648073539,0.7081293358175079,5
196,1,1,8,1800,800,40,0.14,0.2671009445690593,1,0.41213625084127975,1.5790736473689322,0.16803278688142004,0.6507936507362615,4392.0,1134,738.0,0.13980625319184453,0.6317767755939798,20
197,1,1,8,1800,800,40,0.16,0.16929385572870626,0.1,0.38799909767214075,1.5795774402741931,0.1680773881458748,0.6128747794874008,4135.0,1134,695.0,0.13980625319184453,0.6317767755939798,20
198,0,0,2,1000,100,30,0.3,0.46422888680631,1,0.03552898714148963,10.871188011984815,0.581673306695661,0.38624338620932597,753.0,1134,438.0,0.29038168034561795,0.5447886442510099,3
199,0,0,2,1000,100,30,0.73,0.6570032436683819,0.1,0.004962779156271567,18.301659438849683,0.7006802716321903,0.09082892415424788,147.0,1134,103.0,0.29038168034561795,0.5447886442510099,3
200,0,0,2,2000,1500,12,0.04,0.7143551816111944,1,0.02109181141415416,30.68789267915951,0.7969598261892552,0.6472663138759024,921.0,1134,734.0,0.6154261002405188,0.8538342879740729,3
201,0,0,2,2000,1500,12,0.13,0.815812677243068,0.1,0.015339499210293936,35.58472236838302,0.8198675495602825,0.5458553791405771,755.0,1134,619.0,0.6154261002405188,0.8538342879740729,3
202,0,1,16,500,40,40,0.03,0.2119149852622803,1,0.5982404692014636,1.1246972217407756,0.12576232074953417,0.6728395061135062,6067.0,1134,763.0,0.09768989484023176,0.4518509169046804,20
203,0,1,16,500,40,40,0.04,0.12830365376705896,0.1,0.5474847732850497,1.1403760263500544,0.1272923408822853,0.624338624283568,5562.0,1134,708.0,0.09768989484023176,0.4518509169046804,20
204,0,0,2,1200,1200,1,0.03,0.7183907549004747,1,0.023009248815440905,28.743780044462145,0.7861635219301716,0.6613756613173389,954.0,1134,750.0,0.5982353466992092,0.8480567620352566,3
205,0,0,2,1200,1200,1,0.14,0.8134332721824542,0.1,0.015565080081033553,35.01235077835992,0.8174603173521878,0.5449735449254873,756.0,1134,618.0,0.5982353466992092,0.8480567620352566,3
206,0,0,32,2000,1200,50,0.02,0.2115474113559544,1,0.9534175501809901,1.048858283378731,0.11828517784376462,0.9999999999118165,9587.0,1134,1134.0,0.09927234065164975,0.4288667326301735,45
207,0,0,32,2000,1200,50,0.02,0.11932687168711215,0.1,0.9534175501809901,1.048858283378731,0.11828517784376462,0.9999999999118165,9587.0,1134,1134.0,0.09927234065164975,0.4288667326301735,45
208,1,0,256,1800,40,90,0.99,0.21204186585669027,1,0.9505977892967448,1.0519695143144276,0.11859443630915503,0.9999999999118165,9562.0,1134,1134.0,0.11860684028867273,0.5247575005639522,3
209,1,0,256,1800,40,90,0.99,0.11963848412253172,0.1,0.9505977892967448,1.0519695143144276,0.11859443630915503,0.9999999999118165,9562.0,1134,1134.0,0.11860684028867273,0.5247575005639522,3
210,0,1,8,1200,100,80,0.0,0.2037003589239178,1,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0,0.0880406546511303,0.35504370181789535,8
211,0,1,8,1200,100,80,0.0,0.11440425413423087,0.1,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0,0.0880406546511303,0.35504370181789535,8
212,0,1,4,1500,1000,35,0.18,0.4303135446550528,1,0.17696819309522932,3.6924080689974526,0.32077922076533427,0.6534391533815309,2310.0,1134,741.0,0.28361426739164375,0.7732147382685017,8
213,0,1,4,1500,1000,35,0.64,0.47514791656704414,0.1,0.016241822693252403,7.492531763677643,0.48936170195412704,0.12169312168239037,282.0,1134,138.0,0.28361426739164375,0.7732147382685017,8
214,0,1,2,100,80,5,0.04,0.5433403324669619,1,0.02752086623023324,16.469726490133784,0.6781002637627837,0.45326278655614965,758.0,1134,514.0,0.44859274276618094,0.7034684749738515,20
215,0,1,2,100,80,5,0.21,0.8629607643742777,0.1,0.005639521768490418,56.29106533456386,0.8780487802736466,0.3174603174323227,410.0,1134,360.0,0.44859274276618094,0.7034684749738515,20
216,1,1,256,800,800,70,0.99,0.2112715227867682,1,0.9549966162761674,1.0471240192438893,0.11811269659287456,0.9999999999118165,9601.0,1134,1134.0,0.11811269659410478,0.5225016918565306,5
217,1,1,256,800,800,70,0.99,0.11915307673148229,0.1,0.9549966162761674,1.0471240192438893,0.11811269659287456,0.9999999999118165,9601.0,1134,1134.0,0.11811269659410478,0.5225016918565306,5
218,1,0,4,2000,2000,60,0.13,0.34983648603301876,1,0.27058425445217027,2.4409904572623806,0.23792884370273418,0.6604938271022491,3148.0,1134,749.0,0.23804771528899538,0.7344598849975194,20
219,1,0,4,2000,2000,60,0.61,0.4306508173792223,0.1,0.019963907060456077,6.183968465785023,0.44164037840957715,0.12345679011256994,317.0,1134,140.0,0.23804771528899538,0.7344598849975194,20
220,1,0,32,1500,1000,35,0.03,0.2149518595457041,1,0.5521091811352119,1.1595741314814012,0.12915851271785878,0.6402116401551841,5621.0,1134,726.0,0.10988422395316688,0.5250360949285681,45
221,1,0,32,1500,1000,35,0.03,0.13018743287576184,0.1,0.5521091811352119,1.1595741314814012,0.12915851271785878,0.6402116401551841,5621.0,1134,726.0,0.10988422395316688,0.5250360949285681,45
222,0,1,256,500,100,100,0.99,0.20932162407893193,1,0.9662756598131482,1.0349012585239536,0.11689516544565616,0.9999999999118165,9701.0,1134,1134.0,0.11689516544686115,0.5168621700879765,20
223,0,1,256,500,100,100,0.99,0.11792625521633603,0.1,0.9662756598131482,1.0349012585239536,0.11689516544565616,0.9999999999118165,9701.0,1134,1134.0,0.11689516544686115,0.5168621700879765,20
224,0,0,128,1800,1500,20,0.92,0.22979330872394838,1,0.8478457026748494,1.1680187841014895,0.1299768518503475,0.9902998235458289,8640.0,1134,1123.0,0.11256259766491586,0.4776015999134279,8
