,smoothing,normalization,wsize,memory,thres,F1,beta,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
82,0,0,25,800,0.3,0.5129150908246103,1,0.0,3449131.512791779,0.9999999992805756,0.3449131512791779,139.0,403,139.0
83,0,0,25,800,0.3,0.9815420565246407,0.1,0.0,3449131.512791779,0.9999999992805756,0.3449131512791779,139.0,403,139.0
84,1,0,201,1000,0.05,0.8601398101230189,1,0.023697988425910775,38.63740980534541,0.8109890108107716,0.9156327541152276,455.0,403,369.0
85,1,0,201,1000,0.05,0.8119076303778596,0.1,0.023697988425910775,38.63740980534541,0.8109890108107716,0.9156327541152276,455.0,403,369.0
86,0,1,301,600,0.01,0.22289821027052695,1,0.774317993916387,1.2914589076615892,0.12542794895345696,0.9999999997518609,3213.0,403,403.0
87,0,1,301,600,0.01,0.12652351993460248,0.1,0.774317993916387,1.2914589076615892,0.12542794895345696,0.9999999997518609,3213.0,403,403.0
88,1,1,251,1000,0.02,0.4453038327385027,1,0.27666023697226066,3.614540525381222,0.2864250177479442,0.9999999997518609,1407.0,403,403.0
89,1,1,251,1000,0.03,0.4496112036890079,0.1,0.04353816478248724,7.409129571259343,0.4513888887321566,0.32258064508124545,288.0,403,130.0
90,1,1,101,1400,0.08,0.56818176907001,1,0.02783135850019754,17.831545389764106,0.6644518270217767,0.4962779155096084,301.0,403,200.0
91,1,1,101,1400,0.08,0.6622298127000075,0.1,0.02783135850019754,17.831545389764106,0.6644518270217767,0.4962779155096084,301.0,403,200.0
92,0,0,175,1400,0.03,0.8301434905356476,1,0.023697988425910775,36.33382439689663,0.801385681108225,0.8610421834091706,433.0,403,347.0
93,0,0,175,1400,0.03,0.8019357014194566,0.1,0.023697988425910775,36.33382439689663,0.801385681108225,0.8610421834091706,433.0,403,347.0
94,0,1,275,1000,0.01,0.2347116857344047,1,0.7241664370150409,1.3808978303164692,0.13295941932916663,0.9999999997518609,3031.0,403,403.0
95,0,1,275,1000,0.01,0.13411068732022602,0.1,0.7241664370150409,1.3808978303164692,0.13295941932916663,0.9999999997518609,3031.0,403,403.0
96,1,1,201,1400,0.03,0.7133983567691186,1,0.08872967759468918,11.242207939829417,0.5552486187078386,0.997518610174313,724.0,403,402.0
97,1,1,201,1400,0.03,0.5576967425325708,0.1,0.08872967759468918,11.242207939829417,0.5552486187078386,0.997518610174313,724.0,403,402.0
98,1,1,151,1200,0.04,0.5484460228347114,1,0.10774317993640829,6.909172188778536,0.4341534008054771,0.7444168732644126,691.0,403,300.0
99,1,1,151,1200,0.04,0.43595234664544386,0.1,0.10774317993640829,6.909172188778536,0.4341534008054771,0.7444168732644126,691.0,403,300.0
100,1,0,151,400,0.01,0.19975215053533296,1,0.8897767979914639,1.1238772348542752,0.11095814977668067,0.9999999997518609,3632.0,403,403.0
101,1,0,151,400,0.01,0.11194350963298184,0.1,0.8897767979914639,1.1238772348542752,0.11095814977668067,0.9999999997518609,3632.0,403,403.0
102,1,0,251,800,0.06,0.8771526481252688,1,0.023697988425910775,39.998619364883325,0.8162393160649061,0.9478908186233521,468.0,403,382.0
103,1,0,251,800,0.06,0.817363217511506,0.1,0.023697988425910775,39.998619364883325,0.8162393160649061,0.9478908186233521,468.0,403,382.0
104,0,0,301,400,0.03,0.8974942553709794,1,0.02232019840114852,43.80172146370684,0.8294736840359003,0.9776674935539286,475.0,403,394.0
105,0,0,301,400,0.03,0.8307203297403689,0.1,0.02232019840114852,43.80172146370684,0.8294736840359003,0.9776674935539286,475.0,403,394.0
106,0,1,51,200,0.02,0.19185906381660453,1,0.9355194268135707,1.0689247750476296,0.10610847814359904,0.9999999997518609,3798.0,403,403.0
107,0,1,51,200,0.02,0.10705595677291734,0.1,0.9355194268135707,1.0689247750476296,0.10610847814359904,0.9999999997518609,3798.0,403,403.0
108,0,0,251,400,0.03,0.554250132506454,1,0.17718379718442592,5.615844534455959,0.3840996168214464,0.9950372205967649,1044.0,403,401.0
109,0,0,251,400,0.03,0.3864488224711968,0.1,0.17718379718442592,5.615844534455959,0.3840996168214464,0.9950372205967649,1044.0,403,401.0
110,1,0,225,400,0.05,0.8974069400680531,1,0.023697988425910775,41.67395420739153,0.8223140494168772,0.9875930518641208,484.0,403,398.0
111,1,0,225,400,0.05,0.8236787893160774,0.1,0.023697988425910775,41.67395420739153,0.8223140494168772,0.9875930518641208,484.0,403,398.0
112,0,0,25,1800,0.29,0.5238094849555235,1,0.0,3548387.0958937006,0.9999999993006994,0.35483870958937,143.0,403,143.0
113,0,0,25,1800,0.29,0.9823162641191633,0.1,0.0,3548387.0958937006,0.9999999993006994,0.35483870958937,143.0,403,143.0
114,1,0,51,600,0.02,0.21088433486563815,1,0.8310829429365919,1.2032491918237307,0.11787072243001256,0.9999999997518609,3419.0,403,403.0
115,1,0,51,600,0.02,0.11890925856124972,0.1,0.8310829429365919,1.2032491918237307,0.11787072243001256,0.9999999997518609,3419.0,403,403.0
116,0,1,301,400,0.01,0.21311473504651193,1,0.8200606227384938,1.219421894042775,0.11926605504234195,0.9999999997518609,3379.0,403,403.0
117,0,1,301,400,0.01,0.12031520835858368,0.1,0.8200606227384938,1.219421894042775,0.11926605504234195,0.9999999997518609,3379.0,403,403.0
