,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
83,0.0,1,10,275,5.0,0.1,1600,0.16,0.1342412326101971,0.9976335782663142,1.0023719343324171,0.07194994786152299,0.9999999998389695,8631.0,621,621.0
84,1.0,0,10,125,1.5,0.001,200,0.21,0.3287128286715573,0.13289326192386483,4.022936663458296,0.23731236595873392,0.5346215780137485,1399.0,621,332.0
85,1.0,1,6,225,0.3,0.2,1000,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
86,1.0,1,9,201,0.3,0.1,1000,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
87,1.0,1,10,51,5.0,0.3,1400,0.2,0.340835968273011,0.019055922281491396,13.43610138147501,0.5096153844520463,0.2560386473017651,312.0,621,159.0
88,0.0,0,8,251,5.0,0.1,7000,0.31,0.14354575098158437,0.13849794494783288,1.5580075403679776,0.10754414124337526,0.2157809983549467,1246.0,621,134.0
89,0.0,0,5,301,5.0,0.005,1800,0.17,0.3822221769847584,0.1039980072225184,5.326493570916426,0.2917726886945061,0.5539452495082214,1179.0,621,344.0
90,1.0,1,2,75,0.5,0.005,600,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
91,1.0,1,4,75,2.0,0.1,1600,0.16,0.18155923930980278,0.240752273007339,1.7056032060171236,0.1165447897570135,0.4106280192575478,2188.0,621,255.0
92,1.0,0,2,175,1.5,0.1,200,0.08,0.15366764028778168,0.8145472661500244,1.1782523531177738,0.0835201793710269,0.9597423508921511,7136.0,621,596.0
93,0.0,0,10,175,3.0,0.2,2000,0.31,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
94,0.0,1,2,301,5.0,0.001,5000,0.01,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
95,0.0,1,10,175,0.1,0.005,800,0.0,0.1339661184438048,0.9999999999875452,0.9999998998514343,0.0717919075136209,0.9999999998389695,8650.0,621,621.0
96,1.0,1,7,125,1.0,0.4,400,0.32,0.2663604641768699,0.016689500560260438,11.192328446614576,0.4639999998144,0.18679549111323746,250.0,621,116.0
97,1.0,0,10,101,1.0,0.4,1600,0.28,0.4093136782953876,0.08431934238280833,6.3786260289495615,0.3303659742502111,0.5378421899294941,1011.0,621,334.0
98,0.0,1,8,225,1.5,0.005,5000,0.5700000000000001,0.20042281016196642,0.4527338398249753,1.6859461084953327,0.11535653443379518,0.7632850240316772,4109.0,621,474.0
99,1.0,1,1,125,0.5,0.3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621,0.0
